"","ID","Intensity","BP0","BP1","Omaxe","Pmaxe","Equation","Q0d","K","Alpha","R2","Q0se","Alphase","N","AbsSS","SdRes","Q0Low","Q0High","AlphaLow","AlphaHigh","EV","Omaxd","Pmaxd","Notes"
"901","901",8.82051613413251,NA,17,56.283469081503,9,"hs",10.1597100229182,1.53830477266339,0.00522732671646749,0.604652603863707,3.7355572864097,0.000698451343331314,16,0.70754569213316,0.224808758747322,2.14773648307228,18.171683562764,0.00372929757313218,0.0067253558598028,1.00266712043127,23.8231567620908,7.67495783552673,"converged"
"902","902",9.26675531200184,NA,17,52.6200525926614,7,"hs",12.4546012310379,2.7050701942069,0.00335425585599077,0.471657246943524,8.05323504091754,0.00101880013032171,16,2.57111927748732,0.428545653301233,-4.81787007939519,29.7270725414711,0.00116914689882785,0.00553936481315368,0.670094424809016,19.2834460889189,4.70518099368322,"converged"
"903","903",9.99591430996295,NA,17,36.1419395838651,8,"hs",15.5851646822566,2.30174891279349,0.00388421367343356,0.7470816903296,7.16471930137764,0.000795989945293808,17,1.08725634307186,0.269228074696512,0.313926983271902,30.8564023812413,0.00218760126626693,0.0055808260806002,0.737241827877975,19.9423402905241,3.9784864873239,"converged"
"904","904",7.76258882179113,NA,16,37.1846512912564,8,"hs",9.90011636611581,1.65913860909003,0.00551282768055724,0.642439630930704,3.70823402379346,0.000718677303920509,16,0.717892146214378,0.22644648472406,1.94674539619973,17.8534873360319,0.00397141816619987,0.0070542371949146,0.848792586811181,20.5907184145136,6.75346747965827,"converged"
"905","905",7.04567169675666,NA,16,37.7835474693861,13,"hs",8.1259211123011,1.74762356504553,0.00458671401264833,0.486295351174535,3.01856580472248,0.000715534396761636,16,0.886367462408371,0.251618682932325,1.65174135772843,14.6001008668738,0.00305204536372668,0.00612138266156998,0.943683799909366,23.2475497081298,9.23314902330512,"converged"
"906","906",10.6191892746115,NA,17,50.8378857295043,7,"hs",13.3831639977772,2.20977707740822,0.00366340683292549,0.641603167535575,6.01849727323872,0.00067600305970287,16,1.12031305292778,0.282882238614256,0.47477116486519,26.2915568306892,0.00221352446948307,0.00511328919636791,0.8309830255485,22.1451427533278,5.17479131072488,"converged"
"907","907",10.2039943387305,NA,17,37.8605448039121,7,"hs",17.1075937175797,5.31210986082261,0.00159730121991209,0.297097338235608,22.5438727700289,0.00134370994235776,16,12.8594533965538,0.95840095235143,-31.244204493691,65.4593919288504,-0.00128466997687962,0.0044792724167038,0.511343340625069,19.6632493840563,3.26069859257359,"converged"
"908","908",11.5189521637553,NA,17,52.7691091969931,7,"hs",13.9782920057157,2.05710831705993,0.00460426273057239,0.694426320179534,6.88122053942533,0.00090626826218347,16,1.08939981030812,0.278952096541442,-0.780458203870367,28.7370422153017,0.00266051062615888,0.0065480148349859,0.736129398477168,19.1257589463196,4.322207857229,"converged"
"909","909",7.45480676604654,NA,17,45.2433094278263,7,"hs",14.0719698672863,2.56383398176551,0.003117256313385,0.587567200943665,7.58492543868339,0.000773888102457621,17,1.90614793696542,0.356477950413526,-2.09491601210015,30.2388557466728,0.00146775286908758,0.00476675975768241,0.781434601365771,22.0198511695857,4.7912295850802,"converged"
"910","910",7.74005269153383,NA,16,48.4178140158447,7,"hs",8.60476314018752,1.44878188895444,0.00504480981181097,0.536318346921453,2.85093846793328,0.000771948389180504,16,0.652399890079419,0.215870313263612,2.49010826609144,14.7194180142836,0.00338914518293703,0.00670047444068491,1.13671264058383,26.6062766672192,10.1751976562849,"converged"
"911","911",7.94667656411545,NA,17,44.5749931429595,9,"hs",12.565325733165,1.85610582410753,0.00503312959672298,0.637947509770415,6.11158476255746,0.000877803177078442,17,1.16757564610389,0.278995298180679,-0.461208831638183,25.5918602979681,0.00316213641384821,0.00690412277959775,0.785701869871014,19.7237940570122,5.02771620582139,"converged"
"912","912",10.5574091394595,NA,17,54.5133985493668,7,"hs",21.3456140316759,2.55559903367058,0.00278214539893046,0.771545519601038,10.4740635657798,0.000663130115620854,16,1.15633158164932,0.287393655070796,-1.11901807261341,43.8102461359652,0.00135987275458946,0.00420441804327146,0.879794219132207,24.7606010612934,3.5533461140006,"converged"
"913","913",10.9507964645936,NA,14,41.105527401695,5,"hs",8.52403058512669,1.90886181185744,0.00578493925431627,0.473783739019834,4.46872050311397,0.00112678722870391,14,1.19806775239591,0.315973067469881,-1.21247497925502,18.2605361495084,0.00332988078411101,0.00823999772452154,0.655449841168251,16.604582258194,6.21641293626586,"converged"
"914","914",6.8854053155502,NA,17,41.9480050750365,8,"hs",14.8734278061227,2.41016895535485,0.00427970162169481,0.710294462277931,8.65723268946126,0.00116788837890745,17,1.6615220773258,0.332818476783346,-3.57902687563471,33.3258824878802,0.00179040646720799,0.00676899677618164,0.624475316064858,17.1852431055843,3.56899241409116,"converged"
"915","915",8.32644259058863,NA,16,30.913226140327,5,"hs",10.8290476224345,2.69192590964548,0.00365866763709584,0.517861185885929,6.0852974237951,0.000939773880060499,16,1.96970153349539,0.375090611290448,-2.22261728414174,23.8807125290107,0.00164305312948922,0.00567428214470245,0.618845713833684,17.7743837061744,4.99137447873889,"converged"
"916","916",6.16220741142565,NA,17,39.103172170461,10,"hs",10.3030376895055,1.63933220944522,0.00545521517210092,0.695641314557718,3.44829738791932,0.000628669860416793,16,0.561042067384903,0.200185996974404,2.90717535591444,17.6989000230966,0.00410685242438384,0.006803577919818,0.873348657085011,21.1138209283716,6.66316537157039,"converged"
"917","917",5.85133497139945,NA,17,37.3663672178503,6,"hs",6.49030078349633,1.27541849069033,0.00725942828813019,0.658746319185648,1.51717274405995,0.000888550600361388,16,0.310735137431128,0.14898109597988,3.23628887876482,9.74431268822784,0.00535367678893371,0.00916517978732666,0.956353644153273,21.7922305981552,11.1376843059925,"converged"
"918","918",5.87817138690258,NA,17,37.2504137489802,9,"hs",11.3812488235957,1.77882068501205,0.00570769773562915,0.731439938027654,4.6632411587004,0.000814675732060744,14,0.609940706748067,0.225451529666591,1.22091915918697,21.5415784880044,0.00393267179859666,0.00748272367266164,0.738483468107616,18.2914613693665,5.17557893597148,"converged"
"919","919",8.48356295978842,NA,17,34.2820317645258,9,"hs",12.1111542396486,2.38369470024069,0.00444846865198142,0.677609261964309,6.01662337001976,0.000987996709326483,16,1.27771972387259,0.302102126047348,-0.793219470584907,25.0155279498821,0.00232942646211138,0.00656751084185146,0.610820380472029,16.7396177368395,4.27607484199168,"converged"
"920","920",10.3781591574402,NA,17,50.5350275052578,7,"hs",9.78890453537943,2.04135900716925,0.00418738435100988,0.624007574690551,3.68646934166566,0.000621599218262423,15,0.805711253154371,0.248953386609185,1.82477171663392,17.7530373541249,0.00284450088299397,0.0055302678190258,0.818800483113448,21.2172052667513,6.85420894774129,"converged"
